"bias_pos","optimal_choice_proportion"
1.014176121,0.66
0.012338044,0.7
-0.112895263,0.58
0.573124402,0.74
0.167356425,0.78
0.052552549,0.54
-0.215274596,0.6
0.604786363,0.6
0.228595289,0.74
0.1344926,0.48
0.027581837,0.66
0.205603048,0.7
0.302254609,0.6
0.1711595,0.52
0.103104963,0.56
0.262899252,0.64
-1.039140637,0.38
-0.040713963,0.48
0.153648867,0.72
-0.757284097,0.58
0.324253109,0.62
-0.017201105,0.8
1.195583205,0.7
1.383115382,0.84
0.579094464,0.6
-0.066187134,0.68
0.382015616,0.7
0.272722167,0.82
0.193986371,0.7
0.706303655,0.66
0.003971191,0.44
-1.165324972,0.74
-0.088845274,0.64
-0.012072213,0.74
0.995061598,0.68
0.086972365,0.64
-0.01348916,0.66
-0.079897922,0.46
0.313104106,0.64
-0.230874924,0.54
0.72446601,0.7
-0.101693384,0.74
0.210063033,0.62
0.844569416,0.6
0.174587747,0.64
0.675776863,0.66
-0.005357836,0.54
0.714973049,0.62
1.506412694,0.56
0.835999275,0.8
0.351428337,0.76
0.477225383,0.64
0.021172013,0.64
-0.290207802,0.64
-0.173101213,0.6
1.713364491,0.74
0.531711884,0.76
0.047036009,0.68
-0.012732724,0.72
-0.07949719,0.74
0.469561917,0.56
0.054707162,0.64
-0.145922839,0.58
-0.168308457,0.62
0.153583289,0.58
0.006233809,0.72
-0.116822691,0.62
0.062582841,0.68
0.128973947,0.52
-0.325048028,0.8
0.001037876,0.68
-0.00825085,0.72
-0.031405743,0.56
0.027943115,0.54
0.198406669,0.7
0.5919882,0.74
-0.36419313,0.52
0.030833283,0.68
0.251539704,0.64
-0.110890835,0.72
-0.069716533,0.7
0.151586393,0.68
0.092267386,0.68
0.441261162,0.68
0.482218637,0.56
0.68444706,0.8
0.262619514,0.62
1.998029503,0.62
-0.414327134,0.58
0.036407852,0.62
1.448125811,0.8
0.263963013,0.68
0.179227311,0.68
-0.306692459,0.58
0.612695309,0.7
-0.290395621,0.74
-0.100765237,0.66
0.236366164,0.54
-0.0647428,0.6
1.772452098,0.64
-0.017783421,0.54
0.141171905,0.58
0.245934684,0.66
