"parameter","index"
1.014176121,"1bias_pos"
0.012338044,"1bias_pos"
-0.112895263,"1bias_pos"
0.573124402,"1bias_pos"
0.167356425,"1bias_pos"
0.052552549,"1bias_pos"
-0.215274596,"1bias_pos"
0.604786363,"1bias_pos"
0.228595289,"1bias_pos"
0.1344926,"1bias_pos"
0.027581837,"1bias_pos"
0.205603048,"1bias_pos"
0.302254609,"1bias_pos"
0.1711595,"1bias_pos"
0.103104963,"1bias_pos"
0.262899252,"1bias_pos"
-1.039140637,"1bias_pos"
-0.040713963,"1bias_pos"
0.153648867,"1bias_pos"
-0.757284097,"1bias_pos"
0.324253109,"1bias_pos"
-0.017201105,"1bias_pos"
1.195583205,"1bias_pos"
1.383115382,"1bias_pos"
0.579094464,"1bias_pos"
-0.066187134,"1bias_pos"
0.382015616,"1bias_pos"
0.272722167,"1bias_pos"
0.193986371,"1bias_pos"
0.706303655,"1bias_pos"
0.003971191,"1bias_pos"
-1.165324972,"1bias_pos"
-0.088845274,"1bias_pos"
-0.012072213,"1bias_pos"
0.995061598,"1bias_pos"
0.086972365,"1bias_pos"
-0.01348916,"1bias_pos"
-0.079897922,"1bias_pos"
0.313104106,"1bias_pos"
-0.230874924,"1bias_pos"
0.72446601,"1bias_pos"
-0.101693384,"1bias_pos"
0.210063033,"1bias_pos"
0.844569416,"1bias_pos"
0.174587747,"1bias_pos"
0.675776863,"1bias_pos"
-0.005357836,"1bias_pos"
0.714973049,"1bias_pos"
1.506412694,"1bias_pos"
0.835999275,"1bias_pos"
0.351428337,"1bias_pos"
0.477225383,"1bias_pos"
0.021172013,"1bias_pos"
-0.290207802,"1bias_pos"
-0.173101213,"1bias_pos"
1.713364491,"1bias_pos"
0.531711884,"1bias_pos"
0.047036009,"1bias_pos"
-0.012732724,"1bias_pos"
-0.07949719,"1bias_pos"
0.469561917,"1bias_pos"
0.054707162,"1bias_pos"
-0.145922839,"1bias_pos"
-0.168308457,"1bias_pos"
0.153583289,"1bias_pos"
0.006233809,"1bias_pos"
-0.116822691,"1bias_pos"
0.062582841,"1bias_pos"
0.128973947,"1bias_pos"
-0.325048028,"1bias_pos"
0.001037876,"1bias_pos"
-0.00825085,"1bias_pos"
-0.031405743,"1bias_pos"
0.027943115,"1bias_pos"
0.198406669,"1bias_pos"
0.5919882,"1bias_pos"
-0.36419313,"1bias_pos"
0.030833283,"1bias_pos"
0.251539704,"1bias_pos"
-0.110890835,"1bias_pos"
-0.069716533,"1bias_pos"
0.151586393,"1bias_pos"
0.092267386,"1bias_pos"
0.441261162,"1bias_pos"
0.482218637,"1bias_pos"
0.68444706,"1bias_pos"
0.262619514,"1bias_pos"
1.998029503,"1bias_pos"
-0.414327134,"1bias_pos"
0.036407852,"1bias_pos"
1.448125811,"1bias_pos"
0.263963013,"1bias_pos"
0.179227311,"1bias_pos"
-0.306692459,"1bias_pos"
0.612695309,"1bias_pos"
-0.290395621,"1bias_pos"
-0.100765237,"1bias_pos"
0.236366164,"1bias_pos"
-0.0647428,"1bias_pos"
1.772452098,"1bias_pos"
-0.017783421,"1bias_pos"
0.141171905,"1bias_pos"
0.245934684,"1bias_pos"
-0.566803384,"2bias_neg"
-0.166741262,"2bias_neg"
-0.155617854,"2bias_neg"
-0.889432201,"2bias_neg"
-0.766806251,"2bias_neg"
0.144941314,"2bias_neg"
-0.251212808,"2bias_neg"
-0.686855684,"2bias_neg"
0.068748233,"2bias_neg"
-0.175672495,"2bias_neg"
-0.218854131,"2bias_neg"
-0.392443697,"2bias_neg"
0.042233979,"2bias_neg"
-0.344624152,"2bias_neg"
-0.092070286,"2bias_neg"
0.210195341,"2bias_neg"
1.172509405,"2bias_neg"
-0.508808033,"2bias_neg"
-0.92040076,"2bias_neg"
