"tau","index"
0.796801392,"tau"
0.836066053,"tau"
-0.869453682,"tau"
1.739776274,"tau"
1.213756123,"tau"
1.360993402,"tau"
0.054970489,"tau"
0.473117105,"tau"
1.153444969,"tau"
1.215073235,"tau"
0.114160447,"tau"
0.566393647,"tau"
0.254954723,"tau"
0.509480466,"tau"
0.711061076,"tau"
0.461488204,"tau"
-1.642927558,"tau"
0.604440166,"tau"
1.548825397,"tau"
-0.464031987,"tau"
0.073622364,"tau"
0.605700796,"tau"
0.796073287,"tau"
1.364465729,"tau"
0.19207096,"tau"
1.570527368,"tau"
0.133035443,"tau"
0.938711033,"tau"
1.064110039,"tau"
0.498566397,"tau"
1.921033147,"tau"
-1.673036691,"tau"
2.222447685,"tau"
1.18284696,"tau"
1.384905585,"tau"
0.015133216,"tau"
0.878427044,"tau"
0.425698449,"tau"
1.431885759,"tau"
0.813292287,"tau"
0.155870652,"tau"
-0.005835306,"tau"
1.636120062,"tau"
2.518403851,"tau"
1.586394967,"tau"
0.880521862,"tau"
-0.425268393,"tau"
1.513149503,"tau"
1.085505519,"tau"
1.201105607,"tau"
1.101543879,"tau"
-0.197394908,"tau"
1.074497905,"tau"
0.111067782,"tau"
1.294573897,"tau"
2.121353368,"tau"
0.826144298,"tau"
0.634003232,"tau"
0.954329479,"tau"
0.114971274,"tau"
0.13337871,"tau"
1.911237509,"tau"
1.094311404,"tau"
-1.664366384,"tau"
0.044633413,"tau"
1.127108422,"tau"
1.338639383,"tau"
1.264780313,"tau"
1.858355876,"tau"
1.275637748,"tau"
0.733817667,"tau"
1.026143793,"tau"
0.587140155,"tau"
-0.468990128,"tau"
1.257541405,"tau"
0.080090333,"tau"
0.293052613,"tau"
0.745381766,"tau"
1.001288983,"tau"
1.220652005,"tau"
-1.473826148,"tau"
1.464521825,"tau"
0.836288207,"tau"
1.520134795,"tau"
0.204634213,"tau"
2.261178143,"tau"
1.169476675,"tau"
2.600392714,"tau"
0.228607904,"tau"
0.828507333,"tau"
1.38046102,"tau"
-0.279267662,"tau"
1.375727347,"tau"
1.519003858,"tau"
0.823300036,"tau"
-1.247958828,"tau"
1.502331456,"tau"
0.449348635,"tau"
0.21264433,"tau"
1.524539349,"tau"
-0.614302974,"tau"
-0.150430931,"tau"
0.245259217,"tau"
